# Table of Angular offsets between Transit Crossings
# of the Galactic Plane
# Glen Langston -- NSF -- glangsto@nsf.gov
#  Dec     RA1     RA2   Delta RA  Lon1    Lon2
#  (d)     (d)     (d)     (d)      (d)     (d) 
 -61.42  172.66  213.02   40.36   293.4   312.4 
 -60.92  169.72  215.96   46.23   291.9   313.9 
 -60.42  167.81  218.80   50.99   290.9   315.4 
 -59.92  165.04  220.64   55.60   289.4   316.4 
 -59.42  163.24  222.44   59.19   288.4   317.4 
 -58.91  160.64  225.04   64.40   286.9   318.9 
 -58.41  158.96  226.72   67.76   285.9   319.9 
 -57.91  157.33  228.35   71.03   284.9   320.9 
 -57.41  155.74  229.94   74.20   283.9   321.9 
 -56.91  154.97  230.72   75.75   283.4   322.4 
 -56.41  153.45  232.24   78.79   282.4   323.4 
 -55.91  151.98  233.71   81.73   281.4   324.5 
 -55.40  150.55  235.14   84.59   280.4   325.5 
 -54.90  149.85  235.84   85.99   279.9   326.0 
 -54.40  148.48  237.21   88.72   278.9   327.0 
 -53.90  147.82  238.53   90.72   278.4   328.0 
 -53.40  146.51  239.18   92.67   277.4   328.5 
 -52.90  145.24  240.45   95.20   276.4   329.5 
 -52.40  144.63  241.07   96.44   275.9   330.0 
 -51.89  143.42  242.28   98.86   274.9   331.0 
 -51.39  142.82  242.87  100.04   274.4   331.5 
 -50.89  141.67  244.03  102.36   273.4   332.5 
 -50.39  141.10  244.59  103.49   272.9   333.0 
 -49.89  140.54  245.15  104.61   272.4   333.5 
 -49.39  139.45  246.24  106.79   271.4   334.5 
 -48.89  138.92  246.78  107.86   270.9   335.0 
 -48.38  137.88  247.82  109.94   269.9   336.0 
 -47.88  137.36  248.33  110.97   269.4   336.5 
 -47.38  136.86  248.84  111.98   268.9   337.0 
 -46.88  135.87  249.82  113.95   267.9   338.0 
 -46.38  135.39  250.31  114.92   267.4   338.5 
 -45.88  134.91  250.78  115.87   266.9   339.0 
 -45.38  133.98  251.72  117.74   265.9   340.0 
 -44.87  133.52  252.18  118.65   265.4   340.5 
 -44.37  133.07  252.63  119.56   264.9   341.0 
 -43.87  132.19  253.51  121.33   263.9   342.0 
 -43.37  131.75  253.95  122.20   263.4   342.5 
 -42.87  131.32  254.38  123.05   262.9   343.0 
 -42.37  130.90  254.80  123.90   262.4   343.5 
 -41.87  130.07  255.63  125.56   261.4   344.5 
 -41.36  129.66  256.04  126.38   260.9   345.0 
 -40.86  129.26  256.44  127.18   260.4   345.5 
 -40.36  128.86  257.23  128.37   259.9   346.5 
 -39.86  128.08  257.62  129.54   258.9   347.0 
 -39.36  127.70  258.01  130.31   258.4   347.5 
 -38.86  127.32  258.39  131.07   257.9   348.0 
 -38.36  126.94  258.76  131.82   257.4   348.5 
 -37.86  126.20  259.50  133.30   256.4   349.5 
 -37.35  125.84  259.86  134.02   255.9   350.0 
 -36.85  125.48  260.22  134.74   255.4   350.5 
 -36.35  125.13  260.58  135.45   254.9   351.0 
 -35.85  124.43  261.28  136.85   253.9   352.0 
 -35.35  124.08  261.62  137.54   253.4   352.5 
 -34.85  123.74  261.96  138.22   252.9   353.0 
 -34.35  123.41  262.30  138.89   252.4   353.5 
 -33.84  123.07  262.63  139.56   251.8   354.0 
 -33.34  122.41  263.29  140.88   250.8   355.0 
 -32.84  122.09  263.61  141.53   250.3   355.5 
 -32.34  121.77  263.94  142.17   249.8   356.0 
 -31.84  121.45  264.25  142.80   249.3   356.5 
 -31.34  121.13  264.57  143.44   248.8   357.0 
 -30.84  120.82  265.19  144.37   248.3   358.0 
 -30.33  120.21  265.50  145.29   247.3   358.5 
 -29.83  119.90  265.80  145.90   246.8   359.0 
 -29.33  119.60  266.11  146.51   246.3   359.5 
 -28.83  119.30  266.40  147.10   245.8     0.0 
 -28.33  119.00  266.70  147.70   245.3     0.5 
 -27.83  118.42  267.29  148.87   244.3     1.5 
 -27.33  118.13  267.58  149.45   243.8     2.0 
 -26.82  117.84  267.87  150.03   243.3     2.5 
 -26.32  117.55  268.15  150.60   242.8     3.0 
 -25.82  117.27  268.43  151.16   242.3     3.5 
 -25.32  116.99  268.72  151.73   241.8     4.0 
 -24.82  116.43  269.27  152.84   240.8     5.0 
 -24.32  116.16  269.55  153.39   240.3     5.5 
 -23.82  115.89  269.82  153.94   239.8     6.0 
 -23.31  115.61  270.09  154.48   239.3     6.5 
 -22.81  115.34  270.36  155.02   238.8     7.0 
 -22.31  115.08  270.63  155.56   238.3     7.5 
 -21.81  114.81  270.90  156.09   237.8     8.0 
 -21.31  114.28  271.43  157.14   236.8     9.0 
 -20.81  114.02  271.69  157.67   236.3     9.5 
 -20.31  113.76  271.95  158.19   235.8    10.0 
 -19.81  113.50  272.21  158.71   235.3    10.5 
 -19.30  113.24  272.46  159.22   234.8    11.0 
 -18.80  112.99  272.72  159.73   234.3    11.5 
 -18.30  112.73  273.23  160.49   233.8    12.5 
 -17.80  112.23  273.48  161.25   232.8    13.0 
 -17.30  111.98  273.73  161.75   232.3    13.5 
 -16.80  111.73  273.98  162.25   231.8    14.0 
 -16.30  111.48  274.23  162.75   231.3    14.5 
 -15.79  111.23  274.48  163.24   230.8    15.0 
 -15.29  110.99  274.72  163.74   230.3    15.5 
 -14.79  110.74  274.97  164.23   229.8    16.0 
 -14.29  110.25  275.45  165.20   228.8    17.0 
 -13.79  110.01  275.70  165.69   228.3    17.5 
 -13.29  109.77  275.94  166.17   227.8    18.0 
 -12.79  109.53  276.18  166.65   227.3    18.5 
 -12.28  109.29  276.42  167.13   226.8    19.0 
 -11.78  109.05  276.66  167.61   226.3    19.5 
 -11.28  108.81  276.90  168.08   225.8    20.0 
 -10.78  108.58  277.37  168.79   225.3    21.0 
 -10.28  108.10  277.61  169.50   224.3    21.5 
  -9.78  107.87  277.84  169.97   223.8    22.0 
  -9.28  107.63  278.08  170.44   223.3    22.5 
  -8.77  107.40  278.31  170.91   222.8    23.0 
  -8.27  107.17  278.54  171.38   222.3    23.5 
  -7.77  106.93  278.78  171.84   221.8    24.0 
  -7.27  106.70  279.01  172.31   221.3    24.5 
  -6.77  106.24  279.47  173.24   220.3    25.5 
  -6.27  106.01  279.70  173.70   219.8    26.0 
  -5.77  105.77  279.93  174.16   219.3    26.5 
  -5.26  105.54  280.16  174.62   218.8    27.0 
  -4.76  105.31  280.39  175.08   218.3    27.5 
  -4.26  105.08  280.62  175.54   217.8    28.0 
  -3.76  104.86  280.85  176.00   217.3    28.5 
  -3.26  104.63  281.08  176.46   216.8    29.0 
  -2.76  104.17  281.54  177.37   215.8    30.0 
  -2.26  103.94  281.77  177.83   215.3    30.5 
  -1.75  103.71  282.00  178.29   214.8    31.0 
  -1.25  103.48  282.23  178.74   214.3    31.5 
  -0.75  103.25  282.45  179.20   213.8    32.0 
  -0.25  103.03  282.68  179.66   213.3    32.5 
   0.25  102.80  282.91  180.11   212.8    33.0 
   0.75  102.57  283.14  180.57   212.3    33.5 
   1.25  102.11  283.60  181.48   211.3    34.5 
   1.75  101.88  283.83  181.94   210.8    35.0 
   2.26  101.66  284.05  182.40   210.3    35.5 
   2.76  101.43  284.28  182.86   209.8    36.1 
   3.26  101.20  284.51  183.31   209.3    36.6 
   3.76  100.97  284.74  183.77   208.8    37.1 
   4.26  100.74  284.97  184.23   208.3    37.6 
   4.76  100.51  285.20  184.69   207.8    38.1 
   5.26  100.05  285.66  185.61   206.8    39.1 
   5.77   99.82  285.89  186.07   206.3    39.6 
   6.27   99.59  286.12  186.53   205.8    40.1 
   6.77   99.36  286.35  187.00   205.3    40.6 
   7.27   99.12  286.58  187.46   204.8    41.1 
   7.77   98.89  286.82  187.92   204.3    41.6 
   8.27   98.66  287.05  188.39   203.8    42.1 
   8.77   98.43  287.28  188.86   203.3    42.6 
   9.28   97.96  287.75  189.79   202.3    43.6 
   9.78   97.72  287.99  190.26   201.8    44.1 
  10.28   97.49  288.22  190.73   201.3    44.6 
  10.78   97.25  288.46  191.21   200.8    45.1 
  11.28   97.01  288.69  191.68   200.3    45.6 
  11.78   96.78  288.93  192.16   199.8    46.1 
  12.28   96.54  289.17  192.63   199.3    46.6 
  12.79   96.30  289.65  193.35   198.8    47.6 
  13.29   95.82  289.89  194.07   197.8    48.1 
  13.79   95.58  290.13  194.56   197.3    48.6 
  14.29   95.33  290.37  195.04   196.8    49.1 
  14.79   95.09  290.62  195.53   196.3    49.6 
  15.29   94.84  290.86  196.02   195.8    50.1 
  15.79   94.60  291.11  196.51   195.3    50.6 
  16.30   94.35  291.36  197.00   194.8    51.1 
  16.80   93.86  291.85  198.00   193.8    52.1 
  17.30   93.61  292.10  198.50   193.3    52.6 
  17.80   93.35  292.35  199.00   192.8    53.1 
  18.30   93.10  292.61  199.51   192.3    53.6 
  18.80   92.85  292.86  200.01   191.8    54.1 
  19.30   92.59  293.12  200.52   191.3    54.6 
  19.81   92.34  293.37  201.04   190.8    55.1 
  20.31   91.82  293.89  202.07   189.8    56.1 
  20.81   91.56  294.15  202.59   189.3    56.6 
  21.31   91.29  294.41  203.12   188.8    57.1 
  21.81   91.03  294.68  203.65   188.3    57.6 
  22.31   90.76  294.94  204.18   187.8    58.1 
  22.81   90.50  295.21  204.71   187.3    58.6 
  23.31   90.23  295.75  205.52   186.8    59.6 
  23.82   89.68  296.02  206.34   185.8    60.1 
  24.32   89.41  296.30  206.89   185.3    60.6 
  24.82   89.13  296.57  207.44   184.8    61.1 
  25.32   88.86  296.85  207.99   184.3    61.6 
  25.82   88.58  297.13  208.56   183.8    62.1 
  26.32   88.29  297.41  209.12   183.3    62.6 
  26.82   87.72  297.98  210.26   182.3    63.6 
  27.33   87.43  298.27  210.84   181.8    64.1 
  27.83   87.14  298.56  211.42   181.3    64.6 
  28.33   86.85  298.86  212.01   180.8    65.1 
  28.83   86.55  299.15  212.60   180.3    65.6 
  29.33   86.26  299.45  213.19   179.7    66.1 
  29.83   85.65  300.05  214.40   178.7    67.1 
  30.33   85.35  300.36  215.01   178.2    67.6 
  30.84   85.04  300.67  215.63   177.7    68.1 
  31.34   84.73  300.98  216.25   177.2    68.6 
  31.84   84.41  301.29  216.88   176.7    69.1 
  32.34   83.78  301.93  218.15   175.7    70.1 
  32.84   83.45  302.25  218.80   175.2    70.6 
  33.34   83.13  302.58  219.45   174.7    71.1 
  33.84   82.80  302.91  220.11   174.2    71.6 
  34.35   82.47  303.24  220.77   173.7    72.1 
  34.85   81.79  303.91  222.12   172.7    73.1 
  35.35   81.45  304.25  222.81   172.2    73.6 
  35.85   81.10  304.60  223.50   171.7    74.1 
  36.35   80.75  304.95  224.20   171.2    74.6 
  36.85   80.40  305.30  224.90   170.7    75.1 
  37.35   79.68  306.02  226.34   169.7    76.1 
  37.86   79.32  306.39  227.07   169.2    76.6 
  38.36   78.95  306.75  227.81   168.7    77.1 
  38.86   78.57  307.13  228.55   168.2    77.6 
  39.36   78.20  307.89  229.69   167.7    78.6 
  39.86   77.43  308.27  230.84   166.7    79.1 
  40.36   77.04  308.66  231.63   166.2    79.6 
  40.86   76.64  309.06  232.42   165.7    80.1 
  41.36   76.24  309.86  233.62   165.2    81.1 
  41.87   75.43  310.28  234.85   164.2    81.6 
  42.37   75.01  310.69  235.68   163.7    82.1 
  42.87   74.59  311.11  236.52   163.2    82.6 
  43.37   73.73  311.97  238.24   162.2    83.6 
  43.87   73.29  312.41  239.11   161.7    84.1 
  44.37   72.85  312.85  240.00   161.2    84.6 
  44.87   72.40  313.75  241.35   160.7    85.6 
  45.38   71.49  314.21  242.72   159.7    86.1 
  45.88   71.02  314.68  243.66   159.2    86.6 
  46.38   70.55  315.15  244.61   158.7    87.1 
  46.88   69.58  316.12  246.54   157.7    88.1 
  47.38   69.09  316.61  247.53   157.2    88.6 
  47.88   68.58  317.62  249.03   156.7    89.6 
  48.38   67.56  318.13  250.57   155.7    90.1 
  48.89   67.04  318.66  251.62   155.2    90.6 
  49.39   65.97  319.72  253.75   154.2    91.6 
  49.89   65.43  320.27  254.84   153.7    92.1 
  50.39   64.87  321.38  256.51   153.2    93.1 
  50.89   63.74  321.95  258.21   152.2    93.6 
  51.39   63.16  322.53  259.37   151.7    94.1 
  51.89   61.98  323.71  261.74   150.7    95.1 
  52.40   61.37  324.32  262.95   150.2    95.6 
  52.90   60.13  325.56  265.42   149.2    96.6 
  53.40   59.50  326.19  266.69   148.7    97.1 
  53.90   58.20  327.49  269.28   147.7    98.1 
  54.40   56.87  328.82  271.95   146.7    99.1 
  54.90   56.18  329.50  273.32   146.2    99.6 
  55.40   54.79  330.90  276.12   145.2   100.6 
  55.91   53.34  332.34  279.00   144.2   101.6 
  56.41   52.61  333.08  280.47   143.7   102.1 
  56.91   51.10  334.58  283.48   142.7   103.1 
  57.41   49.55  336.14  286.59   141.7   104.1 
  57.91   47.95  337.73  289.78   140.7   105.1 
  58.41   46.31  339.38  293.07   139.7   106.1 
  58.91   44.61  341.07  296.45   138.7   107.1 
  59.42   42.88  342.80  299.92   137.7   108.2 
  59.92   41.09  345.49  304.40   136.7   109.7 
  60.42   38.33  347.34  309.01   135.2   110.7 
  60.92   35.47  350.20  314.73   133.7   112.2 
  61.42   32.52  353.16  320.64   132.2   113.7 
  61.92   29.48  356.20  326.72   130.7   115.2 
  62.42   24.24    1.43  -22.82   128.2   117.7 
  62.92   13.38   12.29   -1.10   123.2   122.7 
  63.43   13.38   12.29   -1.10   123.2   122.7 
  63.93   13.38   12.29   -1.10   123.2   122.7 
  64.43   13.38   12.29   -1.10   123.2   122.7 
  64.93   13.38   12.29   -1.10   123.2   122.7 
  65.43   13.38   12.29   -1.10   123.2   122.7 
  65.93   13.38   12.29   -1.10   123.2   122.7 
  66.43   13.38   12.29   -1.10   123.2   122.7 
  66.94   13.38   12.29   -1.10   123.2   122.7 
  67.44   13.38   12.29   -1.10   123.2   122.7 
  67.94   13.38   12.29   -1.10   123.2   122.7 
  68.44   13.38   12.29   -1.10   123.2   122.7 
  68.94   13.38   12.29   -1.10   123.2   122.7 
  69.44   13.38   12.29   -1.10   123.2   122.7 
  69.94   13.38   12.29   -1.10   123.2   122.7 
  70.45   13.38   12.29   -1.10   123.2   122.7 
  70.95   13.38   12.29   -1.10   123.2   122.7 
  71.45   13.38   12.29   -1.10   123.2   122.7 
  71.95   13.38   12.29   -1.10   123.2   122.7 
  72.45   13.38   12.29   -1.10   123.2   122.7 
  72.95   13.38   12.29   -1.10   123.2   122.7 
  73.45   13.38   12.29   -1.10   123.2   122.7 
  73.96   13.38   12.29   -1.10   123.2   122.7 
  74.46   13.38   12.29   -1.10   123.2   122.7 
  74.96   13.38   12.29   -1.10   123.2   122.7 
  75.46   13.38   12.29   -1.10   123.2   122.7 
  75.96   13.38   12.29   -1.10   123.2   122.7 
  76.46   13.38   12.29   -1.10   123.2   122.7 
  76.96   13.38   12.29   -1.10   123.2   122.7 
  77.47   13.38   12.29   -1.10   123.2   122.7 
  77.97   13.38   12.29   -1.10   123.2   122.7 
  78.47   13.38   12.29   -1.10   123.2   122.7 
  78.97   13.38   12.29   -1.10   123.2   122.7 
  79.47   13.38   12.29   -1.10   123.2   122.7 
  79.97   13.38   12.29   -1.10   123.2   122.7 
  80.47   13.38   12.29   -1.10   123.2   122.7 
  80.97   13.38   12.29   -1.10   123.2   122.7 
  81.48   13.38   12.29   -1.10   123.2   122.7 
  81.98   13.38   12.29   -1.10   123.2   122.7 
  82.48   13.38   12.29   -1.10   123.2   122.7 
  82.98   13.38   12.29   -1.10   123.2   122.7 
  83.48   13.38   12.29   -1.10   123.2   122.7 
  83.98   13.38   12.29   -1.10   123.2   122.7 
  84.48   13.38   12.29   -1.10   123.2   122.7 
  84.99   13.38   12.29   -1.10   123.2   122.7 
  85.49   13.38   12.29   -1.10   123.2   122.7 
  85.99   13.38   12.29   -1.10   123.2   122.7 
  86.49   13.38   12.29   -1.10   123.2   122.7 
  86.99   13.38   12.29   -1.10   123.2   122.7 
  87.49   13.38   12.29   -1.10   123.2   122.7 
  87.99   13.38   12.29   -1.10   123.2   122.7 
  88.50   13.38   12.29   -1.10   123.2   122.7 
  89.00   13.38   12.29   -1.10   123.2   122.7 
  89.50   13.38   12.29   -1.10   123.2   122.7 
  90.00   13.38   12.29   -1.10   123.2   122.7 
